id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad,latitud_original,longitud_original,motivo_descarte
1114512,2023,ENERO,DOMINGO,2023-01-01,1,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114513,2023,ENERO,LUNES,2023-01-02,12,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114514,2023,ENERO,MARTES,2023-01-03,7,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114515,2023,ENERO,MARTES,2023-01-03,21,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114516,2023,ENERO,MARTES,2023-01-03,12,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114517,2023,ENERO,MARTES,2023-01-03,11,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114518,2023,ENERO,MIERCOLES,2023-01-04,19,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114519,2023,ENERO,VIERNES,2023-01-06,18,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114520,2023,ENERO,VIERNES,2023-01-06,18,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114521,2023,ENERO,MARTES,2023-01-10,12,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114522,2023,ENERO,MIERCOLES,2023-01-11,11,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114523,2023,ENERO,JUEVES,2023-01-12,17,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114524,2023,ENERO,VIERNES,2023-01-13,0,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114525,2023,ENERO,VIERNES,2023-01-13,13,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114526,2023,ENERO,SABADO,2023-01-14,18,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114527,2023,ENERO,LUNES,2023-01-16,0,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114528,2023,ENERO,MIERCOLES,2023-01-18,18,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114529,2023,ENERO,MIERCOLES,2023-01-18,9,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114530,2023,ENERO,VIERNES,2023-01-20,18,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114531,2023,ENERO,SABADO,2023-01-21,11,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114532,2023,ENERO,SABADO,2023-01-21,17,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114533,2023,ENERO,MARTES,2023-01-24,8,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114534,2023,ENERO,MIERCOLES,2023-01-25,12,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114535,2023,ENERO,JUEVES,2023-01-26,12,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114536,2023,ENERO,JUEVES,2023-01-26,19,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114537,2023,ENERO,DOMINGO,2023-01-29,16,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114538,2023,ENERO,DOMINGO,2023-01-29,1,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114539,2023,ENERO,LUNES,2023-01-30,16,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114540,2023,ENERO,LUNES,2023-01-30,13,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114541,2023,FEBRERO,MIERCOLES,2023-02-01,11,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114542,2023,FEBRERO,MIERCOLES,2023-02-01,20,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114543,2023,FEBRERO,MIERCOLES,2023-02-01,16,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114544,2023,FEBRERO,MIERCOLES,2023-02-01,20,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114545,2023,FEBRERO,JUEVES,2023-02-02,23,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114546,2023,FEBRERO,JUEVES,2023-02-02,2,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114547,2023,FEBRERO,JUEVES,2023-02-02,23,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114548,2023,FEBRERO,JUEVES,2023-02-02,20,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114549,2023,FEBRERO,VIERNES,2023-02-03,17,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114550,2023,FEBRERO,VIERNES,2023-02-03,10,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
1114551,2023,FEBRERO,VIERNES,2023-02-03,4,Amenazas,Amenazas,NO,NO,,,0.0,0.0,1,0.0,0.0,"Coordenadas 0,0"
