BARRIO,POBLACION
AGRONOMIA,15002
ALMAGRO,142931
BALVANERA,145373
BARRACAS,93958
BELGRANO,144661
BOCA,47386
BOEDO,51340
CABALLITO,203043
CHACARITA,29936
COGHLAN,22022
COLEGIALES,60207
CONSTITUCION,47892
FLORES,160813
FLORESTA,39155
LINIERS,46114
MATADEROS,67330
MONSERRAT,43339
MONTE CASTRO,35037
NUEVA POMPEYA,44846
NUÑEZ,59517
PALERMO,248635
PARQUE AVELLANEDA,55619
PARQUE CHACABUCO,55083
PARQUE CHAS,18859
PARQUE PATRICIOS,43050
PATERNAL,21261
PUERTO MADERO,7303
RECOLETA,161645
RETIRO,71027
SAAVEDRA,59537
SAN CRISTOBAL,50867
SAN NICOLAS,31785
SAN TELMO,22208
VELEZ SARSFIELD,36556
VERSALLES,14403
VILLA CRESPO,88379
VILLA DEL PARQUE,59573
VILLA DEVOTO,71696
VILLA GRAL. MITRE,37414
VILLA LUGANO,137936
VILLA LURO,33869
VILLA ORTUZAR,23439
VILLA PUEYRREDON,46940
VILLA REAL,13984
VILLA RIACHUELO,15372
VILLA SANTA RITA,35918
VILLA SOLDATI,51059
VILLA URQUIZA,108388
