nombre,comuna,franja_distancia_comisaria,superficie_interseccion_km2,factor_area_barrio,POBLACION,poblacion_estimada
Agronomia,15,ENTORNO INMEDIATO (0-500 m),0.2424292044025371,0.11428279299206558,13912,1589.9022161056164
Agronomia,15,CERCANA (501-900 m),0.6156372799106057,0.29021564456978344,13912,4037.4800472548272
Agronomia,15,INTERMEDIA (901-1350 m),0.5550741851073497,0.26166578547414837,13912,3640.2944075163523
Agronomia,15,ALEJADA (MAS DE 1350 m),0.7081690925781168,0.33383577696399386,13912,4644.323329123083
Almagro,5,ENTORNO INMEDIATO (0-500 m),0.6966395128054035,0.17205452001320692,131699,22659.40823121934
Almagro,5,CERCANA (501-900 m),1.6348760436619538,0.4037781489605543,131699,53177.17843995604
Almagro,5,INTERMEDIA (901-1350 m),1.6341195237270734,0.4035913053034208,131699,53152.57131715521
Almagro,5,ALEJADA (MAS DE 1350 m),0.08331122329079141,0.020576025722810594,131699,2709.8420116684324
Balvanera,3,ENTORNO INMEDIATO (0-500 m),2.6046577832798223,0.60011074862997,138926,83370.98586416722
Balvanera,3,CERCANA (501-900 m),1.735637385947112,0.39988925137002834,138926,55555.014135832556
Barracas,4,ENTORNO INMEDIATO (0-500 m),1.5651104772562505,0.19683424433695218,89452,17607.216824429048
Barracas,4,CERCANA (501-900 m),2.3748301599083463,0.29866767026800045,89452,26716.420440813177
Barracas,4,INTERMEDIA (901-1350 m),2.4905782005216026,0.3132245839419372,89452,28018.565482774167
Barracas,4,ALEJADA (MAS DE 1350 m),1.5208947109491187,0.19127350145310104,89452,17109.797251982793
Belgrano,13,ENTORNO INMEDIATO (0-500 m),1.5712809981828766,0.19503128852420643,126267,24626.01570808597
Belgrano,13,CERCANA (501-900 m),2.860632979911768,0.35506884937336886,126267,44833.47840382717
Belgrano,13,INTERMEDIA (901-1350 m),2.123214690642601,0.2635386652091084,126267,33276.23663995849
Belgrano,13,ALEJADA (MAS DE 1350 m),1.501429897187083,0.18636119689336592,126267,23531.269248134635
La Boca,4,ENTORNO INMEDIATO (0-500 m),1.017454205521794,0.20207485143430615,45113,9116.202772755852
La Boca,4,CERCANA (501-900 m),1.7914968305803296,0.3558061423500558,45113,16051.482499838068
La Boca,4,INTERMEDIA (901-1350 m),1.0874910565390832,0.2159847514449776,45113,9743.720091937275
La Boca,4,ALEJADA (MAS DE 1350 m),1.1385941738709524,0.2261342547706545,45113,10201.594635468537
Boedo,5,ENTORNO INMEDIATO (0-500 m),0.5219139488951259,0.200068050111482,47306,9464.419178573768
Boedo,5,CERCANA (501-900 m),1.3317134953335015,0.5104928176044157,47306,24149.373229594486
Boedo,5,INTERMEDIA (901-1350 m),0.7550546946951467,0.2894391322841096,47306,13692.20759183209
Caballito,6,ENTORNO INMEDIATO (0-500 m),2.0813237256907953,0.30392874520786334,176076,53514.557741219745
Caballito,6,CERCANA (501-900 m),2.7864596631159673,0.40689738868088804,176076,71644.86460937605
Caballito,6,INTERMEDIA (901-1350 m),1.9203387785724055,0.28042065159844315,176076,49375.346650847474
Caballito,6,ALEJADA (MAS DE 1350 m),0.05994257972904884,0.008753214512809842,176076,1541.2309985575057
Chacarita,15,ENTORNO INMEDIATO (0-500 m),0.7650362627917537,0.2456463817326205,27761,6819.389203279277
