comuna,MADRUGADA,MAÑANA,TARDE,NOCHE
1,14.3928,23.0391,30.3497,32.2184
2,13.1833,23.6167,32.3333,30.8667
3,11.6515,23.2746,33.978,31.0959
4,14.0572,31.313,27.4966,27.1331
5,13.5928,29.2623,25.5591,31.5858
6,10.8348,30.49,29.3829,29.2922
7,12.0234,32.5917,30.2622,25.1227
8,13.7673,32.3647,25.4811,28.3869
9,12.702,33.6159,24.3709,29.3113
10,11.1303,34.1527,26.8305,27.8864
11,11.5008,35.7978,25.5608,27.1406
12,10.2976,31.9193,26.8389,30.9442
13,10.9426,24.1862,30.5922,34.279
14,19.637,24.261,24.1314,31.9706
15,15.975,28.5486,23.5511,31.9253
