barrio,cantidad,porcentaje
PALERMO,11570,9.1
BALVANERA,8605,6.76
FLORES,6726,5.29
RECOLETA,6000,4.72
CABALLITO,5510,4.33
ALMAGRO,5282,4.15
SAN NICOLAS,4970,3.91
VILLA LUGANO,4637,3.65
BARRACAS,4250,3.34
BELGRANO,4217,3.32
VILLA CRESPO,3850,3.03
RETIRO,3344,2.63
CONSTITUCION,3265,2.57
MATADEROS,3010,2.37
MONSERRAT,2956,2.32
NUEVA POMPEYA,2941,2.31
PARQUE CHACABUCO,2847,2.24
VILLA DEVOTO,2637,2.07
VILLA SOLDATI,2527,1.99
LINIERS,2474,1.94
VILLA URQUIZA,2390,1.88
PARQUE AVELLANEDA,2066,1.62
PARQUE PATRICIOS,1975,1.55
SAN TELMO,1968,1.55
SAN CRISTOBAL,1943,1.53
CHACARITA,1939,1.52
BOCA,1839,1.45
SAAVEDRA,1830,1.44
NUÃ‘EZ,1727,1.36
COLEGIALES,1705,1.34
VILLA DEL PARQUE,1652,1.3
BOEDO,1604,1.26
FLORESTA,1518,1.19
VILLA PUEYRREDON,1185,0.93
VILLA LURO,1081,0.85
VELEZ SARSFIELD,1044,0.82
VILLA GRAL. MITRE,1030,0.81
VILLA SANTA RITA,1010,0.79
MONTE CASTRO,990,0.78
PATERNAL,808,0.64
VILLA ORTUZAR,650,0.51
VILLA RIACHUELO,579,0.46
VILLA REAL,575,0.45
VERSALLES,569,0.45
PUERTO MADERO,568,0.45
PARQUE CHAS,489,0.38
COGHLAN,441,0.35
AGRONOMIA,409,0.32
