fecha,cantidad,promedio_movil_7_dias
2023-01-01,258,258.0
2023-01-02,273,265.5
2023-01-03,308,279.6666666666667
2023-01-04,348,296.75
2023-01-05,318,301.0
2023-01-06,314,303.1666666666667
2023-01-07,264,297.57142857142856
2023-01-08,286,301.57142857142856
2023-01-09,325,309.0
2023-01-10,312,309.57142857142856
2023-01-11,319,305.42857142857144
2023-01-12,327,306.7142857142857
2023-01-13,367,314.2857142857143
2023-01-14,295,318.7142857142857
2023-01-15,262,315.2857142857143
2023-01-16,355,319.57142857142856
2023-01-17,314,319.85714285714283
2023-01-18,343,323.2857142857143
2023-01-19,300,319.42857142857144
2023-01-20,318,312.42857142857144
2023-01-21,292,312.0
2023-01-22,305,318.14285714285717
2023-01-23,312,312.0
2023-01-24,316,312.2857142857143
2023-01-25,319,308.85714285714283
2023-01-26,339,314.42857142857144
2023-01-27,300,311.85714285714283
2023-01-28,297,312.57142857142856
2023-01-29,287,310.0
2023-01-30,336,313.42857142857144
2023-01-31,364,320.2857142857143
2023-02-01,340,323.2857142857143
2023-02-02,313,319.57142857142856
2023-02-03,340,325.2857142857143
2023-02-04,321,328.7142857142857
2023-02-05,282,328.0
2023-02-06,336,328.0
2023-02-07,310,320.2857142857143
2023-02-08,365,323.85714285714283
2023-02-09,318,324.57142857142856
2023-02-10,307,319.85714285714283
2023-02-11,304,317.42857142857144
2023-02-12,299,319.85714285714283
2023-02-13,347,321.42857142857144
2023-02-14,367,329.57142857142856
2023-02-15,353,327.85714285714283
2023-02-16,336,330.42857142857144
2023-02-17,301,329.57142857142856
2023-02-18,278,325.85714285714283
2023-02-19,260,320.2857142857143
2023-02-20,262,308.14285714285717
2023-02-21,345,305.0
2023-02-22,403,312.14285714285717
2023-02-23,356,315.0
2023-02-24,344,321.14285714285717
2023-02-25,350,331.42857142857144
2023-02-26,307,338.14285714285717
2023-02-27,381,355.14285714285717
2023-02-28,352,356.14285714285717
2023-03-01,352,348.85714285714283
2023-03-02,351,348.14285714285717
2023-03-03,397,355.7142857142857
2023-03-04,314,350.57142857142856
2023-03-05,292,348.42857142857144
2023-03-06,374,347.42857142857144
2023-03-07,352,347.42857142857144
2023-03-08,359,348.42857142857144
2023-03-09,389,353.85714285714283
2023-03-10,402,354.57142857142856
2023-03-11,351,359.85714285714283
2023-03-12,298,360.7142857142857
2023-03-13,369,360.0
2023-03-14,358,360.85714285714283
2023-03-15,388,365.0
2023-03-16,365,361.57142857142856
2023-03-17,360,355.57142857142856
2023-03-18,337,353.57142857142856
2023-03-19,295,353.14285714285717
2023-03-20,410,359.0
2023-03-21,389,363.42857142857144
2023-03-22,371,361.0
2023-03-23,386,364.0
2023-03-24,327,359.2857142857143
2023-03-25,330,358.2857142857143
2023-03-26,339,364.57142857142856
